#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000             0.00003             0.00003
  0.0619             0.00003             0.00003
  0.1237             0.00003             0.00003
  0.1856             0.00003             0.00003
  0.2475             0.00003             0.00003
  0.3093             0.00003             0.00003
  0.3712             0.00003             0.00003
  0.4331             0.00003             0.00003
  0.4949             0.00003             0.00003
  0.5568             0.00003             0.00003
  0.6187             0.00003             0.00003
  0.6805             0.00003             0.00003
  0.7424             0.00003             0.00003
  0.8043             0.00003             0.00003
  0.8661             0.00003             0.00003
  0.9280             0.00003             0.00003
  0.9899             0.00003             0.00003
  1.0517             0.00003             0.00003
  1.1136             0.00002             0.00003
  1.1755             0.00002             0.00002
  1.2373             0.00002             0.00002
  1.2992             0.00002             0.00002
  1.3611             0.00002             0.00002
  1.4230             0.00002             0.00002
  1.4848             0.00002             0.00002
  1.5467             0.00002             0.00002
  1.6086             0.00002             0.00002
  1.6704             0.00002             0.00002
  1.7323             0.00002             0.00002
  1.7942             0.00002             0.00002
  1.8560             0.00001             0.00001
  1.9179             0.00001             0.00001
  1.9798             0.00001             0.00001
  2.0416             0.00001             0.00001
  2.1035             0.00001             0.00001
  2.1654             0.00001             0.00001
  2.2272             0.00001             0.00001
  2.2891             0.00001             0.00001
  2.3510             0.00001             0.00001
  2.4128             0.00000             0.00001
  2.4747             0.00000             0.00000
  2.5366             0.00000             0.00000
  2.5984             0.00000             0.00000
  2.6603            -0.00000             0.00000
  2.7222            -0.00000            -0.00000
  2.7840            -0.00000            -0.00000
  2.8459            -0.00000            -0.00000
  2.9078            -0.00001            -0.00000
  2.9696            -0.00001            -0.00001
  3.0315            -0.00001            -0.00001
  3.0934            -0.00001            -0.00001
  3.1552            -0.00001            -0.00001
  3.2171            -0.00001            -0.00001
  3.2790            -0.00002            -0.00001
  3.3408            -0.00002            -0.00001
  3.4027            -0.00002            -0.00001
  3.4646            -0.00002            -0.00002
  3.5264            -0.00003            -0.00002
  3.5883            -0.00003            -0.00002
  3.6502            -0.00003            -0.00002
  3.7120            -0.00004            -0.00002
  3.7739            -0.00004            -0.00003
  3.8358            -0.00005            -0.00003
  3.8976            -0.00005            -0.00003
  3.9595            -0.00006            -0.00003
  4.0214            -0.00006            -0.00004
  4.0832            -0.00007            -0.00004
  4.1451            -0.00008            -0.00005
  4.2070            -0.00009            -0.00005
  4.2689            -0.00010            -0.00006
  4.3307            -0.00012            -0.00006
  4.3926            -0.00013            -0.00007
  4.4545            -0.00015            -0.00008
  4.5163            -0.00017            -0.00009
  4.5782            -0.00019            -0.00010
  4.6401            -0.00021            -0.00011
  4.7019            -0.00024            -0.00013
  4.7638            -0.00027            -0.00014
  4.8257            -0.00031            -0.00016
  4.8875            -0.00035            -0.00019
  4.9494            -0.00039            -0.00021
  5.0113            -0.00044            -0.00024
  5.0731            -0.00050            -0.00027
  5.1350            -0.00056            -0.00031
  5.1969            -0.00062            -0.00035
  5.2587            -0.00070            -0.00040
  5.3206            -0.00078            -0.00045
  5.3825            -0.00087            -0.00051
  5.4443            -0.00097            -0.00058
  5.5062            -0.00107            -0.00065
  5.5681            -0.00119            -0.00074
  5.6299            -0.00131            -0.00083
  5.6918            -0.00145            -0.00094
  5.7537            -0.00159            -0.00105
  5.8155            -0.00173            -0.00118
